depth_km vs_km_s
0.000000 1.284640
0.200000 1.284640
0.400000 1.286888
0.600000 1.296611
0.800000 1.320211
1.000000 1.376416
1.200000 1.524951
1.400000 1.993182
1.600000 2.574212
1.800000 2.795832
2.000000 2.865970
2.200000 3.137343
2.400000 3.334452
2.600000 3.433691
2.800000 3.495686
3.000000 3.534681
3.200000 3.561472
3.400000 3.578218
3.600000 3.588178
3.800000 3.593055
4.000000 3.595200
4.200000 3.595200
4.400000 3.595200
4.600000 3.595200
4.800000 3.595200
5.000000 3.595200
5.200000 3.595200
5.400000 3.595200
5.600000 3.595200
5.800000 3.595200
6.000000 3.595200
6.200000 3.595200
6.400000 3.595200
6.600000 3.595200
6.800000 3.595200
7.000000 3.595200
7.200000 3.595200
7.400000 3.595200
7.600000 3.595200
7.800000 3.595200
8.000000 3.595200
8.200000 3.595200
8.400000 3.595200
8.600000 3.595200
8.800000 3.595200
9.000000 3.595200
9.200000 3.595200
9.400000 3.595200
9.600000 3.595200
9.800000 3.595200
10.000000 3.595200
10.200000 3.595200
10.400000 3.595200
10.600000 3.595200
10.800000 3.595200
11.000000 3.595200
11.200000 3.595200
11.400000 3.595200
11.600000 3.595200
11.800000 3.595200
12.000000 3.595200
12.200000 3.596423
12.400000 3.600177
12.600000 3.605443
12.800000 3.612701
13.000000 3.621105
13.200000 3.630489
13.400000 3.641243
13.600000 3.653756
13.800000 3.669061
14.000000 3.684347
14.200000 3.700498
14.400000 3.718623
14.600000 3.739056
14.800000 3.761138
15.000000 3.784519
15.200000 3.807817
15.400000 3.832590
15.600000 3.858752
15.800000 3.882830
16.000000 3.907198
16.200000 3.935404
16.400000 3.958085
16.600000 3.975403
16.800000 3.991253
17.000000 4.004889
17.200000 4.016645
17.400000 4.027297
17.600000 4.036292
17.800000 4.043997
18.000000 4.051061
18.200000 4.057747
18.400000 4.063744
18.600000 4.068756
18.800000 4.073597
19.000000 4.077426
19.200000 4.080702
19.400000 4.083428
19.600000 4.085917
19.800000 4.087911
20.000000 4.089644
20.200000 4.090804
20.400000 4.091739
20.600000 4.092675
20.800000 4.093368
21.000000 4.093949
21.200000 4.094431
21.400000 4.094796
21.600000 4.095019
21.800000 4.095086
22.000000 4.095273
22.200000 4.095327
22.400000 4.095352
22.600000 4.095379
22.800000 4.095379
23.000000 4.095379
23.200000 4.095379
23.400000 4.095379
23.600000 4.095379
23.800000 4.095379
24.000000 4.095379
24.200000 4.095379
24.400000 4.095379
24.600000 4.095379
24.800000 4.095379
25.000000 4.095379
25.200000 4.095439
25.400000 4.095502
25.600000 4.095644
25.800000 4.095861
26.000000 4.096110
26.200000 4.096464
26.400000 4.096893
26.600000 4.097341
26.800000 4.097852
27.000000 4.098476
27.200000 4.099512
27.400000 4.100483
27.600000 4.102110
27.800000 4.103569
28.000000 4.105506
28.200000 4.107253
28.400000 4.109962
28.600000 4.112881
28.800000 4.115975
29.000000 4.119924
29.200000 4.124590
29.400000 4.129796
29.600000 4.134826
29.800000 4.141317
30.000000 4.147392
30.200000 4.155572
30.400000 4.164678
30.600000 4.174689
30.800000 4.186808
31.000000 4.200498
31.200000 4.215949
31.400000 4.235668
31.600000 4.257546
31.800000 4.285227
32.000000 4.318458
32.200000 4.364806
32.400000 4.409663
32.600000 4.431605
32.800000 4.450340
33.000000 4.468382
33.200000 4.485530
33.400000 4.499882
33.600000 4.516011
33.800000 4.530335
34.000000 4.543847
34.200000 4.555764
34.400000 4.566869
34.600000 4.577384
34.800000 4.586016
35.000000 4.594801
35.200000 4.594801
35.400000 4.594801
35.600000 4.594801
35.800000 4.594801
36.000000 4.594801
36.200000 4.594801
36.400000 4.594801
36.600000 4.594801
36.800000 4.594801
37.000000 4.594801
37.200000 4.594801
37.400000 4.594801
37.600000 4.594801
37.800000 4.594801
38.000000 4.594801
38.200000 4.594801
38.400000 4.594801
38.600000 4.594801
38.800000 4.594801
39.000000 4.594801
39.200000 4.594801
39.400000 4.594801
39.600000 4.594801
39.800000 4.594801
40.000000 4.594801
40.200000 4.594801
40.400000 4.594801
40.600000 4.594801
40.800000 4.594801
41.000000 4.594801
41.200000 4.594801
41.400000 4.594801
41.600000 4.594801
41.800000 4.594801
42.000000 4.594801
42.200000 4.594801
42.400000 4.594801
42.600000 4.594801
42.800000 4.594801
43.000000 4.594801
43.200000 4.594801
43.400000 4.594801
43.600000 4.594801
43.800000 4.594801
44.000000 4.594801
44.200000 4.594801
44.400000 4.594801
44.600000 4.594801
44.800000 4.594801
45.000000 4.594801
45.200000 4.594801
45.400000 4.594801
45.600000 4.594801
45.800000 4.594801
46.000000 4.594801
46.200000 4.594801
46.400000 4.594801
46.600000 4.594801
46.800000 4.594801
47.000000 4.594801
47.200000 4.594801
47.400000 4.594801
47.600000 4.594801
47.800000 4.594801
48.000000 4.594801
48.200000 4.594801
48.400000 4.594801
48.600000 4.594801
48.800000 4.594801
49.000000 4.594801
49.200000 4.594801
49.400000 4.594801
49.600000 4.594801
49.800000 4.594801
50.000000 4.594801
