depth_km vs_km_s
0.000000 1.312226
0.200000 1.312226
0.400000 1.312226
0.600000 1.312511
0.800000 1.317407
1.000000 1.328986
1.200000 1.344592
1.400000 1.367354
1.600000 1.394317
1.800000 1.432604
2.000000 1.484824
2.200000 1.536675
2.400000 1.589399
2.600000 1.648644
2.800000 1.701580
3.000000 1.749663
3.200000 1.794569
3.400000 1.829875
3.600000 1.862126
3.800000 1.889384
4.000000 1.910422
4.200000 1.927198
4.400000 1.941226
4.600000 1.952054
4.800000 1.961473
5.000000 1.967404
5.200000 1.987534
5.400000 2.010293
5.600000 2.038785
5.800000 2.076718
6.000000 2.126304
6.200000 2.199208
6.400000 2.302016
6.600000 2.496557
6.800000 3.271214
7.000000 3.367405
7.200000 3.424248
7.400000 3.463222
7.600000 3.489508
7.800000 3.508405
8.000000 3.522154
8.200000 3.530856
8.400000 3.537077
8.600000 3.541205
8.800000 3.543798
9.000000 3.545625
9.200000 3.545625
9.400000 3.545625
9.600000 3.545625
9.800000 3.545625
10.000000 3.545625
10.200000 3.545625
10.400000 3.545625
10.600000 3.545625
10.800000 3.545625
11.000000 3.545625
11.200000 3.545625
11.400000 3.545625
11.600000 3.545625
11.800000 3.545625
12.000000 3.545625
12.200000 3.545625
12.400000 3.545625
12.600000 3.545625
12.800000 3.545625
13.000000 3.545625
13.200000 3.545625
13.400000 3.545625
13.600000 3.545625
13.800000 3.545625
14.000000 3.545625
14.200000 3.545625
14.400000 3.545625
14.600000 3.545625
14.800000 3.545625
15.000000 3.545625
15.200000 3.545625
15.400000 3.545625
15.600000 3.545625
15.800000 3.545625
16.000000 3.545625
16.200000 3.545625
16.400000 3.545625
16.600000 3.545625
16.800000 3.545625
17.000000 3.545625
17.200000 3.545625
17.400000 3.545625
17.600000 3.545625
17.800000 3.545625
18.000000 3.545625
18.200000 3.545625
18.400000 3.545625
18.600000 3.545625
18.800000 3.545625
19.000000 3.545625
19.200000 3.545625
19.400000 3.545625
19.600000 3.545625
19.800000 3.545625
20.000000 3.545625
20.200000 3.545625
20.400000 3.545625
20.600000 3.545625
20.800000 3.545625
21.000000 3.545625
21.200000 3.545625
21.400000 3.545625
21.600000 3.545625
21.800000 3.545625
22.000000 3.545625
22.200000 3.545625
22.400000 3.545625
22.600000 3.545625
22.800000 3.545625
23.000000 3.545625
23.200000 3.545625
23.400000 3.545625
23.600000 3.545625
23.800000 3.545625
24.000000 3.545625
24.200000 3.545625
24.400000 3.545625
24.600000 3.545625
24.800000 3.545625
25.000000 3.545625
25.200000 3.545660
25.400000 3.545875
25.600000 3.546182
25.800000 3.546721
26.000000 3.547339
26.200000 3.548460
26.400000 3.549779
26.600000 3.551090
26.800000 3.552891
27.000000 3.555368
27.200000 3.558032
27.400000 3.561387
27.600000 3.564759
27.800000 3.567902
28.000000 3.571412
28.200000 3.575220
28.400000 3.579220
28.600000 3.583587
28.800000 3.587941
29.000000 3.592973
29.200000 3.598179
29.400000 3.603197
29.600000 3.608579
29.800000 3.614201
30.000000 3.619786
30.200000 3.625555
30.400000 3.631029
30.600000 3.638311
30.800000 3.644308
31.000000 3.650886
31.200000 3.657302
31.400000 3.663417
31.600000 3.669465
31.800000 3.676175
32.000000 3.683527
32.200000 3.690815
32.400000 3.698301
32.600000 3.705163
32.800000 3.712545
33.000000 3.719259
33.200000 3.727051
33.400000 3.735204
33.600000 3.743535
33.800000 3.752274
34.000000 3.760237
34.200000 3.767909
34.400000 3.775531
34.600000 3.782953
34.800000 3.790140
35.000000 3.797386
35.200000 3.804341
35.400000 3.811540
35.600000 3.818705
35.800000 3.825550
36.000000 3.832330
36.200000 3.838184
36.400000 3.845113
36.600000 3.851252
36.800000 3.856970
37.000000 3.862010
37.200000 3.867103
37.400000 3.872566
37.600000 3.877291
37.800000 3.881782
38.000000 3.885831
38.200000 3.889529
38.400000 3.893654
38.600000 3.897542
38.800000 3.901592
39.000000 3.905442
39.200000 3.908956
39.400000 3.912439
39.600000 3.915695
