depth_km vs_km_s
0.000000 1.222481
0.200000 1.222481
0.400000 1.224702
0.600000 1.263619
0.800000 1.377929
1.000000 1.588497
1.200000 1.730134
1.400000 1.815513
1.600000 1.864964
1.800000 1.890795
2.000000 1.902888
2.200000 1.909532
2.400000 1.912128
2.600000 1.913361
2.800000 1.913708
3.000000 1.913748
3.200000 1.919981
3.400000 1.930301
3.600000 1.944456
3.800000 1.965475
4.000000 1.995385
4.200000 2.038607
4.400000 2.103477
4.600000 2.198341
4.800000 2.363263
5.000000 3.392642
5.200000 3.514754
5.400000 3.559456
5.600000 3.587036
5.800000 3.606764
6.000000 3.621037
6.200000 3.630872
6.400000 3.638387
6.600000 3.643693
6.800000 3.647076
7.000000 3.649030
7.200000 3.649030
7.400000 3.649030
7.600000 3.649030
7.800000 3.649030
8.000000 3.649030
8.200000 3.649030
8.400000 3.649030
8.600000 3.649030
8.800000 3.649030
9.000000 3.649030
9.200000 3.649030
9.400000 3.649030
9.600000 3.649030
9.800000 3.649030
10.000000 3.649030
10.200000 3.649030
10.400000 3.649030
10.600000 3.649030
10.800000 3.649030
11.000000 3.649030
11.200000 3.649030
11.400000 3.649030
11.600000 3.649030
11.800000 3.649030
12.000000 3.649030
12.200000 3.649030
12.400000 3.649030
12.600000 3.649030
12.800000 3.649030
13.000000 3.649030
13.200000 3.649030
13.400000 3.649030
13.600000 3.649030
13.800000 3.649030
14.000000 3.649030
14.200000 3.649030
14.400000 3.649030
14.600000 3.649030
14.800000 3.649030
15.000000 3.649030
15.200000 3.649030
15.400000 3.649030
15.600000 3.649030
15.800000 3.649030
16.000000 3.649030
16.200000 3.649030
16.400000 3.649030
16.600000 3.649030
16.800000 3.649030
17.000000 3.649030
17.200000 3.649030
17.400000 3.649030
17.600000 3.649030
17.800000 3.649030
18.000000 3.649030
18.200000 3.649030
18.400000 3.649030
18.600000 3.649030
18.800000 3.649030
19.000000 3.649030
19.200000 3.649030
19.400000 3.649030
19.600000 3.649030
19.800000 3.649030
20.000000 3.649030
20.200000 3.649030
20.400000 3.649030
20.600000 3.649030
20.800000 3.649030
21.000000 3.649030
21.200000 3.649030
21.400000 3.649030
21.600000 3.649030
21.800000 3.649030
22.000000 3.649030
22.200000 3.649030
22.400000 3.649030
22.600000 3.649030
22.800000 3.649030
23.000000 3.649030
23.200000 3.649031
23.400000 3.649052
23.600000 3.649121
23.800000 3.649287
24.000000 3.649466
24.200000 3.649600
24.400000 3.649984
24.600000 3.650393
24.800000 3.650970
25.000000 3.651756
25.200000 3.652708
25.400000 3.653582
25.600000 3.654878
25.800000 3.656130
26.000000 3.657434
26.200000 3.658811
26.400000 3.660777
26.600000 3.662718
26.800000 3.664749
27.000000 3.666800
27.200000 3.668838
27.400000 3.671149
27.600000 3.673569
27.800000 3.676317
28.000000 3.679031
28.200000 3.681848
28.400000 3.684747
28.600000 3.687741
28.800000 3.691074
29.000000 3.694890
29.200000 3.699108
29.400000 3.702440
29.600000 3.706616
29.800000 3.711087
30.000000 3.715323
30.200000 3.720275
30.400000 3.725697
30.600000 3.730973
30.800000 3.735458
31.000000 3.740836
31.200000 3.746486
31.400000 3.752405
31.600000 3.759335
31.800000 3.765746
32.000000 3.772443
32.200000 3.779240
32.400000 3.786278
32.600000 3.793225
32.800000 3.800244
33.000000 3.807305
33.200000 3.814220
33.400000 3.821045
33.600000 3.827978
33.800000 3.834824
34.000000 3.841595
34.200000 3.848184
34.400000 3.854728
34.600000 3.861591
34.800000 3.868121
35.000000 3.874616
35.200000 3.880846
35.400000 3.886605
35.600000 3.892285
35.800000 3.897494
36.000000 3.902991
36.200000 3.909075
36.400000 3.915075
36.600000 3.919984
36.800000 3.925184
37.000000 3.930087
37.200000 3.934680
37.400000 3.938789
37.600000 3.942420
37.800000 3.946112
38.000000 3.949182
38.200000 3.951650
38.400000 3.954473
38.600000 3.957442
38.800000 3.959878
39.000000 3.962510
39.200000 3.964615
39.400000 3.966432
39.600000 3.968531
39.800000 3.970060
40.000000 3.971768
40.200000 3.973070
40.400000 3.974578
40.600000 3.975997
40.800000 3.977739
41.000000 3.979319
41.200000 3.981033
41.400000 3.982729
41.600000 3.984487
41.800000 3.986761
42.000000 3.990096
42.200000 3.993259
42.400000 3.996611
42.600000 4.000549
42.800000 4.004753
43.000000 4.010277
43.200000 4.017301
43.400000 4.025525
43.600000 4.033753
43.800000 4.043826
44.000000 4.055645
44.200000 4.068607
44.400000 4.085422
44.600000 4.104298
44.800000 4.127453
45.000000 4.154719
45.200000 4.193199
45.400000 4.238728
